-        T(min) V1        V2
-           78.25    6.1   5.95
-            78.5    6.1   5.94
-           78.75   6.11   5.93
-              79   6.11   5.92
-           79.25   6.13   5.92
-            79.5   6.14   5.91
-           79.75   6.16   5.91
-              80   6.18   5.91
-           80.25    6.2   5.91
-            80.5   6.21   5.91

